date,stock_id,news_id
2025-07-31,QQQ,6769192
2025-07-30,REMX,6767501
2025-07-30,REMX,6767576
2025-07-30,REMX,6767596
2025-07-30,REMX,6767073
2025-07-30,REMX,6766498
2025-07-30,REMX,6763163
2025-07-30,REMX,6761848
2025-07-29,REMX,6755781
2025-07-29,REMX,6755473
2025-07-29,REMX,6755210
2025-07-30,RGTI,6768359
2025-07-30,RGTI,6768064
2025-07-30,RGTI,6767078
2025-07-30,RGTI,6763135
2025-07-29,RGTI,6755959
2025-07-29,RGTI,6755137
2025-07-29,RGTI,6747997
2025-07-28,RGTI,6744796
2025-07-28,RGTI,6744514
2025-07-28,RGTI,6735284
2025-07-30,RKLB,6767100
2025-07-30,RKLB,6763092
2025-07-30,RKLB,6762609
2025-07-29,RKLB,6755115
2025-07-28,RKLB,6744798
2025-07-28,RKLB,6744503
2025-07-28,RKLB,6744057
2025-07-28,RKLB,6743868
2025-07-28,RKLB,6741736
2025-07-31,SCHD,6769408
2025-07-31,SCHD,6769121
2025-07-31,SCHD,6769053
2025-07-31,SCHD,6769045
2025-07-31,SCHD,6768983
2025-07-30,SCHD,6768876
2025-07-30,SCHD,6768728
2025-07-30,SCHD,6768739
2025-07-30,SCHD,6768496
2025-07-30,SCHD,6768507
2025-07-30,SHLD,6768526
2025-07-30,SHLD,6768455
2025-07-30,SHLD,6768423
2025-07-30,SHLD,6768417
2025-07-30,SHLD,6767544
2025-07-30,SHLD,6767107
2025-07-30,SHLD,6766875
2025-07-30,SHLD,6766698
2025-07-30,SHLD,6766509
2025-07-30,SHLD,6766115
2025-07-31,SOXL,6769223
2025-07-30,SOXL,6768816
2025-07-30,SOXL,6768851
2025-07-30,SOXL,6768849
2025-07-30,SOXL,6768887
2025-07-30,SOXL,6768749
2025-07-30,SOXL,6768657
2025-07-30,SOXL,6768654
2025-07-30,SOXL,6768612
2025-07-30,SOXL,6768468
2025-07-31,SPY,6769455
2025-07-31,SPY,6769474
2025-07-31,SPY,6769460
2025-07-31,SPY,6769467
2025-07-31,SPY,6769408
2025-07-31,SPY,6769399
2025-07-31,SPY,6769332
2025-07-31,SPY,6769196
2025-07-31,SPY,6769161
2025-07-31,SPY,6769157
2025-07-31,TSLA,6769157
2025-07-31,TSLA,6769192
2025-07-30,TSLA,6768430
2025-07-30,TSLA,6768044
2025-07-30,TSLA,6768040
2025-07-30,TSLA,6768055
2025-07-30,TSLA,6768019
2025-07-30,TSLA,6768280
2025-07-30,TSLA,6767110
2025-07-30,TSLA,6766876
2025-07-31,TSLL,6769157
2025-07-31,TSLL,6769192
2025-07-30,TSLL,6768430
2025-07-30,TSLL,6768044
2025-07-30,TSLL,6768040
2025-07-30,TSLL,6768055
2025-07-30,TSLL,6768019
2025-07-30,TSLL,6768280
2025-07-30,TSLL,6767110
2025-07-30,TSLL,6766876
2025-07-30,TSM,6768468
2025-07-30,TSM,6766520
2025-07-30,TSM,6765039
2025-07-30,TSM,6764773
2025-07-30,TSM,6764276
2025-07-30,TSM,6762687
2025-07-30,TSM,6762074
2025-07-30,TSM,6762077
2025-07-30,TSM,6762079
2025-07-30,TSM,6762084
2025-07-29,VG,6751917
2025-07-29,VG,6747634
2025-07-28,VG,6744453
2025-07-28,VG,6743876
2025-07-28,VG,6743570
2025-07-28,VG,6743569
2025-07-28,VG,6743062
2025-07-28,VG,6743032
2025-07-28,VG,6742588
2025-07-28,VG,6742436
2025-07-31,VOO,6769455
2025-07-31,VOO,6769474
2025-07-31,VOO,6769460
2025-07-31,VOO,6769467
2025-07-31,VOO,6769408
2025-07-31,VOO,6769399
2025-07-31,VOO,6769332
2025-07-31,VOO,6769196
2025-07-31,VOO,6769161
2025-07-31,VOO,6769157
